dnaSampleID,internalLabID,nucleicAcidConcentration,plateNumber,Well_Number,JGI_Well_Number,DNA_volume,notes
LEAVE BLANK,,,,,A01,,
YELL_016-M-20230803-comp,23S_23_2086,137,23S_23,B01,B01,30,
YELL_002-M-20230801-comp,23S_23_2087,232,23S_23,C01,C01,30,
YELL_012-M-20230802-comp,23S_23_2088,95,23S_23,D01,D01,30,
YELL_005-M-20230807-comp,23S_23_2089,81,23S_23,E01,E01,30,
YELL_009-M-20230802-comp,23S_23_2090,151,23S_23,F01,F01,30,
ORNL_004-O-20230628-comp,23S_23_2091,208,23S_23,G01,G01,30,
LEAVE BLANK,,,,,H01,,
MLBS_001-M-20230712-comp,23S_23_2093,92,23S_23,A02,A02,30,
MLBS_002-M-20230712-comp,23S_23_2094,150,23S_23,B02,B02,30,
MLBS_002-O-20230712-comp,23S_23_2095,260,23S_23,C02,C02,30,
MLBS_003-M-20230712-comp,23S_23_2096,233,23S_23,D02,D02,30,
MLBS_005-M-20230712-comp,23S_23_2097,176,23S_23,E02,E02,30,
MLBS_006-M-20230710-comp,23S_23_2098,120,23S_23,F02,F02,30,
MLBS_007-M-20230710-comp,23S_23_2099,107,23S_23,G02,G02,30,
MLBS_007-O-20230710-comp,23S_23_2100,140,23S_23,H02,H02,30,
MLBS_061-M-20230711-comp,23S_23_2101,137,23S_23,A03,A03,30,
MLBS_061-O-20230711-comp,23S_23_2102,184,23S_23,B03,B03,30,
MLBS_063-M-20230711-comp,23S_23_2103,181,23S_23,C03,C03,30,
MLBS_064-M-20230711-comp,23S_23_2104,144,23S_23,D03,D03,30,
MLBS_067-M-20230711-comp,23S_23_2105,195,23S_23,E03,E03,30,
ORNL_001-M-20230626-comp,23S_23_2106,48,23S_23,F03,F03,30,
ORNL_002-M-20230626-comp,23S_23_2107,43,23S_23,G03,G03,30,
ORNL_003-M-20230626-comp,23S_23_2108,64,23S_23,H03,H03,30,
ORNL_027-M-20230628-comp,23S_23_2109,151,23S_23,A04,A04,30,
ORNL_043-M-20230627-comp,23S_23_2110,62,23S_23,B04,B04,30,
ORNL_046-M-20230627-comp,23S_23_2111,57,23S_23,C04,C04,30,
ORNL_049-M-20230627-comp,23S_23_2112,50,23S_23,D04,D04,30,
ORNL_053-M-20230627-comp,23S_23_2113,53,23S_23,E04,E04,30,
TOOL_001-O-20230719-comp,23S_23_2114,13,23S_23,F04,F04,30,
TOOL_002-O-20230720-comp,23S_23_2115,127,23S_23,G04,G04,30,
TOOL_003-O-20230718-comp,23S_23_2116,23,23S_23,H04,H04,30,
TOOL_004-O-20230718-comp,23S_23_2117,91,23S_23,A05,A05,30,
TOOL_005-O-20230719-comp,23S_23_2118,108,23S_23,B05,B05,30,
TOOL_006-O-20230720-comp,23S_23_2119,89,23S_23,C05,C05,30,
TOOL_041-O-20230717-comp,23S_23_2120,34,23S_23,D05,D05,30,
TOOL_042-O-20230717-comp,23S_23_2121,75,23S_23,E05,E05,30,
TOOL_043-O-20230717-comp,23S_23_2122,62,23S_23,F05,F05,30,
TOOL_044-O-20230717-comp,23S_23_2123,100,23S_23,G05,G05,30,
UNDE_001-O-20230810-comp,23S_23_2124,127,23S_23,H05,H05,30,
UNDE_002-O-20230808-comp,23S_23_2125,49,23S_23,A06,A06,30,
UNDE_003-M-20230810-comp,23S_23_2126,125,23S_23,B06,B06,30,
UNDE_003-O-20230810-comp,23S_23_2127,40,23S_23,C06,C06,30,
UNDE_006-M-20230808-comp,23S_23_2128,193,23S_23,D06,D06,30,
UNDE_008-M-20230808-comp,23S_23_2129,111,23S_23,E06,E06,30,
UNDE_010-M-20230810-comp,23S_23_2130,98,23S_23,F06,F06,30,
UNDE_010-O-20230810-comp,23S_23_2131,90,23S_23,G06,G06,30,
UNDE_037-O-20230809-comp,23S_23_2132,179,23S_23,H06,H06,30,
UNDE_038-O-20230809-comp,23S_23_2133,34,23S_23,A07,A07,30,
UNDE_043-M-20230808-comp,23S_23_2134,184,23S_23,B07,B07,30,
