dnaSampleID,internalLabID,nucleicAcidConcentration,plateNumber,Well_Number,JGI_Well_Number,DNA_volume,notes
LEAVE BLANK,,,,,A01,,
CPER_002-M-20230628-comp,23S_22_1992,58,23S_22,C01,B01,30,positions shifted from source to target
CPER_003-M-20230628-comp,23S_22_1993,47,23S_22,D01,C01,30,positions shifted from source to target
CPER_004-M-20230626-comp,23S_22_1994,50,23S_22,E01,D01,30,positions shifted from source to target
CPER_005-M-20230626-comp,23S_22_1995,58,23S_22,F01,E01,30,positions shifted from source to target
CPER_006-M-20230628-comp,23S_22_1996,44,23S_22,G01,F01,30,positions shifted from source to target
CPER_045-M-20230628-comp,23S_22_1997,51,23S_22,H01,G01,30,positions shifted from source to target
LEAVE BLANK,,,,,H01,,
CPER_046-M-20230626-comp,23S_22_1998,43,23S_22,A02,A02,30,
CPER_047-M-20230626-comp,23S_22_1999,93,23S_22,B02,B02,30,
CPER_048-M-20230626-comp,23S_22_2000,49,23S_22,C02,C02,30,
LENO_001-M-20230627-comp,23S_22_2001,20,23S_22,D02,D02,30,
LENO_002-M-20230629-comp,23S_22_2002,61,23S_22,E02,E02,30,
LENO_003-M-20230629-comp,23S_22_2003,12,23S_22,F02,F02,50,more DNA needed for this sample
LENO_004-M-20230627-comp,23S_22_2004,87,23S_22,G02,G02,30,
LENO_005-M-20230627-comp,23S_22_2005,54,23S_22,H02,H02,30,
LENO_006-M-20230629-comp,23S_22_2006,43,23S_22,A03,A03,30,
LENO_061-M-20230629-comp,23S_22_2007,75,23S_22,B03,B03,30,
LENO_062-M-20230629-comp,23S_22_2008,119,23S_22,C03,C03,30,
SJER_001-M-20230227-comp,23S_11_1008,19,23S_11,E08,D03,30,"sample concentration too low, another sample used"
LENO_064-M-20230627-comp,23S_22_2010,129,23S_22,E03,E03,30,
TALL_001-M-20230531-comp,23S_22_2011,49,23S_22,F03,F03,30,
TALL_002-M-20230530-comp,23S_22_2012,118,23S_22,G03,G03,30,
TALL_003-M-20230531-comp,23S_22_2013,11,23S_22,H03,H03,50,more DNA needed for this sample
TALL_004-M-20230531-comp,23S_22_2014,41,23S_22,A04,A04,30,
TALL_006-M-20230531-comp,23S_22_2015,34,23S_22,B04,B04,30,
TALL_007-M-20230530-comp,23S_22_2016,23,23S_22,C04,C04,30,
SJER_002-M-20230228-comp,23S_11_1009,22,23S_11,F08,D04,30,"sample concentration too low, another sample used"
TALL_047-M-20230530-comp,23S_22_2018,78,23S_22,E04,E04,30,
TALL_051-M-20230530-comp,23S_22_2019,50,23S_22,F04,F04,30,
TALL_054-M-20230530-comp,23S_22_2020,31,23S_22,G04,G04,30,
HARV_001-O-20230705-comp,23S_22_2021,134,23S_22,H04,H04,30,
HARV_002-O-20230706-comp,23S_22_2022,99,23S_22,A05,A05,30,
HARV_004-O-20230705-comp,23S_22_2023,166,23S_22,B05,B05,30,
HARV_005-O-20230710-comp,23S_22_2024,118,23S_22,C05,C05,30,
HARV_013-O-20230704-comp,23S_22_2025,109,23S_22,D05,D05,30,
HARV_021-O-20230706-comp,23S_22_2026,143,23S_22,E05,E05,30,
HARV_033-O-20230703-comp,23S_22_2027,72,23S_22,F05,F05,30,
HARV_034-O-20230703-comp,23S_22_2028,47,23S_22,G05,G05,30,
HARV_035-O-20230704-comp,23S_22_2029,78,23S_22,H05,H05,30,
HARV_037-O-20230704-comp,23S_22_2030,145,23S_22,A06,A06,30,
BONA_001-O-20230710-comp,23S_22_2031,167,23S_22,B06,B06,30,
BONA_002-O-20230711-comp,23S_22_2032,81,23S_22,C06,C06,30,
BONA_004-O-20230712-comp,23S_22_2033,18,23S_22,D06,D06,30,
BONA_006-O-20230710-comp,23S_22_2034,33,23S_22,E06,E06,30,
BONA_009-O-20230711-comp,23S_22_2035,192,23S_22,F06,F06,30,
BONA_013-O-20230710-comp,23S_22_2036,113,23S_22,G06,G06,30,
BONA_070-O-20230712-comp,23S_22_2037,50,23S_22,H06,H06,30,
BONA_071-O-20230711-comp,23S_22_2038,21,23S_22,A07,A07,30,
BONA_080-O-20230713-comp,23S_22_2039,64,23S_22,B07,B07,30,
BONA_084-O-20230713-comp,23S_22_2040,249,23S_22,C07,C07,30,
DEJU_001-M-20230628-comp,23S_22_2041,78,23S_22,D07,D07,30,
DEJU_002-M-20230629-comp,23S_22_2042,72,23S_22,E07,E07,30,
DEJU_002-O-20230629-comp,23S_22_2043,166,23S_22,F07,F07,30,
DEJU_006-M-20230628-comp,23S_22_2044,57,23S_22,G07,G07,30,
DEJU_006-O-20230628-comp,23S_22_2045,115,23S_22,H07,H07,30,
DEJU_009-M-20230628-comp,23S_22_2046,48,23S_22,A08,A08,30,
DEJU_009-O-20230628-comp,23S_22_2047,115,23S_22,B08,B08,30,
DEJU_014-M-20230628-comp,23S_22_2048,57,23S_22,C08,C08,30,
DEJU_014-O-20230628-comp,23S_22_2049,197,23S_22,D08,D08,30,
DEJU_015-M-20230629-comp,23S_22_2050,20,23S_22,E08,E08,30,
DEJU_015-O-20230629-comp,23S_22_2051,89,23S_22,F08,F08,30,
DEJU_045-M-20230626-comp,23S_22_2052,62,23S_22,G08,G08,30,
DEJU_045-O-20230626-comp,23S_22_2053,158,23S_22,H08,H08,30,
DEJU_046-M-20230626-comp,23S_22_2054,109,23S_22,A09,A09,30,
DEJU_046-O-20230626-comp,23S_22_2055,165,23S_22,B09,B09,30,
DEJU_047-M-20230626-comp,23S_22_2056,45,23S_22,C09,C09,30,
DEJU_047-O-20230626-comp,23S_22_2057,83,23S_22,D09,D09,30,
DEJU_048-M-20230626-comp,23S_22_2058,68,23S_22,E09,E09,30,
DEJU_048-O-20230626-comp,23S_22_2059,137,23S_22,F09,F09,30,
ONAQ_002-M-20230626-comp,23S_22_2060,19,23S_22,G09,G09,30,
SJER_003-M-20230301-comp,23S_11_1010,23,23S_11,G08,H09,30,"sample in this cell did not pass, another sample substituted"
ONAQ_004-M-20230627-comp,23S_22_2062,62,23S_22,A10,A10,30,
ONAQ_005-M-20230627-comp,23S_22_2063,23,23S_22,B10,B10,30,
ONAQ_008-M-20230626-comp,23S_22_2064,120,23S_22,C10,C10,30,
ONAQ_010-M-20230627-comp,23S_22_2065,140,23S_22,D10,D10,30,
ONAQ_041-M-20230622-comp,23S_22_2066,56,23S_22,E10,E10,30,
ONAQ_042-M-20230622-comp,23S_22_2067,16,23S_22,F10,F10,30,
ONAQ_043-M-20230626-comp,23S_22_2068,41,23S_22,G10,G10,30,
ONAQ_044-M-20230626-comp,23S_22_2069,31,23S_22,H10,H10,30,
WREF_003-O-20230712-comp,23S_22_2070,113,23S_22,A11,A11,30,
WREF_004-O-20230712-comp,23S_22_2071,134,23S_22,B11,B11,30,
SJER_004-M-20230301-comp,23S_11_1011,15,23S_11,H08,C11,30,"sample in this cell did not pass, another sample substituted"
WREF_007-O-20230710-comp,23S_22_2073,101,23S_22,D11,D11,30,
WREF_008-O-20230712-comp,23S_22_2074,28,23S_22,E11,E11,30,
SJER_005-M-20230306-comp,23S_11_1012,30,23S_11,A09,F11,30,"sample in this cell did not pass, another sample substituted"
YELL_046-M-20230801-comp,23S_22_2085,93,23S_22,H12,G11,30,sample from another row used here
WREF_071-O-20230710-comp,23S_22_2077,134,23S_22,H11,H11,30,
LEAVE BLANK,,,,,A12,,
WREF_072-M-20230712-comp,23S_22_2078,40,23S_22,A12,B12,30,positions shifted from source to target
WREF_072-O-20230712-comp,23S_22_2079,120,23S_22,B12,C12,30,positions shifted from source to target
YELL_051-M-20230801-comp,23S_22_2081,177,23S_22,D12,D12,30,positions shifted from source to target
YELL_003-M-20230802-comp,23S_22_2082,165,23S_22,E12,E12,30,positions shifted from source to target
YELL_052-M-20230802-comp,23S_22_2083,153,23S_22,F12,F12,30,positions shifted from source to target
YELL_048-M-20230801-comp,23S_22_2084,136,23S_22,G12,G12,30,positions shifted from source to target
LEAVE BLANK,,,,,H12,,
