dnaSampleID,internalLabID,nucleicAcidConcentration,plateNumber,Well_Number,JGI_Well_Number,DNA_volume,notes
LEAVE BLANK,,,,,A01,,
PUUM_004-O-20240108-comp-DNA1,24S_05_0399,158,24S_05,Well_F03,B01,30,
PUUM_006-O-20240102-comp-DNA1,24S_05_0400,132,24S_05,Well_G03,C01,30,
PUUM_007-O-20240108-comp-DNA1,24S_05_0401,116,24S_05,Well_H03,D01,30,
PUUM_010-O-20240102-comp-DNA1,24S_05_0402,127,24S_05,Well_A04,E01,30,
PUUM_014-O-20240108-comp-DNA1,24S_05_0403,205,24S_05,Well_B04,F01,30,
PUUM_015-O-20240108-comp-DNA1,24S_05_0404,135,24S_05,Well_C04,G01,30,
LEAVE BLANK,,,,,H01,,
PUUM_034-O-20240102-comp-DNA1,24S_05_0405,116,24S_05,Well_D04,A02,30,
PUUM_036-O-20240108-comp-DNA1,24S_05_0406,150,24S_05,Well_E04,B02,30,
PUUM_040-O-20240110-comp-DNA1,24S_05_0407,127,24S_05,Well_F04,C02,30,
PUUM_042-O-20240102-comp-DNA1,24S_05_0408,99,24S_05,Well_G04,D02,30,
SJER_001-M-20240219-comp-DNA1,24S_06_0534,16,24S_06,Well_F08,E02,50,more DNA needed for this sample
SJER_002-M-20240220-comp-DNA1,24S_06_0535,25,24S_06,Well_G08,F02,30,
SJER_003-M-20240221-comp-DNA1,24S_06_0536,14,24S_06,Well_H08,G02,50,more DNA needed for this sample
SJER_005-M-20240222-comp-DNA1,24S_06_0538,11,24S_06,Well_B09,H02,50,more DNA needed for this sample
SJER_025-M-20240221-comp-DNA1,24S_06_0539,38,24S_06,Well_C09,A03,30,
SJER_045-M-20240219-comp-DNA1,24S_06_0540,44,24S_06,Well_D09,B03,30,
SJER_046-M-20240219-comp-DNA1,24S_06_0541,47,24S_06,Well_E09,C03,30,
SJER_048-M-20240220-comp-DNA1,24S_06_0543,77,24S_06,Well_G09,D03,30,
CLBJ_001-M-20240409-comp-DNA2,24S_08_0757,13,24S_08,Well_G12,E03,50,more DNA needed for this sample
CLBJ_002-M-20240411-comp-DNA2,24S_08_0758,17,24S_08,Well_H12,F03,50,more DNA needed for this sample
CLBJ_003-M-20240410-comp-DNA1,24S_09_0759,34,24S_09,Well_B01,G03,30,
CLBJ_006-M-20240411-comp-DNA1,24S_09_0760,21,24S_09,Well_C01,H03,30,
CLBJ_032-M-20240411-comp-DNA1,24S_09_0761,17,24S_09,Well_D01,A04,50,more DNA needed for this sample
CLBJ_033-M-20240409-comp-DNA1,24S_09_0762,29,24S_09,Well_E01,B04,30,
CLBJ_038-M-20240411-comp-DNA1,24S_09_0765,16,24S_09,Well_H01,C04,50,more DNA needed for this sample
CLBJ_040-M-20240410-comp-DNA1,24S_09_0766,19,24S_09,Well_A02,D04,50,more DNA needed for this sample
ONAQ_002-M-20240603-comp-DNA1,24S_12_1098,52,24S_12,Well_A08,E04,30,
ONAQ_003-M-20240605-comp-DNA1,24S_12_1099,48,24S_12,Well_B08,F04,30,
ONAQ_004-M-20240604-comp-DNA1,24S_12_1100,48,24S_12,Well_C08,G04,30,
ONAQ_005-M-20240605-comp-DNA1,24S_12_1101,30,24S_12,Well_D08,H04,30,
ONAQ_008-M-20240603-comp-DNA1,24S_12_1102,65,24S_12,Well_E08,A05,30,
ONAQ_010-M-20240605-comp-DNA1,24S_12_1103,84,24S_12,Well_F08,B05,30,
ONAQ_041-M-20240603-comp-DNA1,24S_12_1104,57,24S_12,Well_G08,C05,30,
ONAQ_042-M-20240603-comp-DNA1,24S_12_1105,26,24S_12,Well_H08,D05,30,
ONAQ_043-M-20240604-comp-DNA1,24S_12_1106,27,24S_12,Well_A09,E05,30,
ONAQ_044-M-20240604-comp-DNA1,24S_12_1107,38,24S_12,Well_B09,F05,30,
KONA_001-M-20240618-comp-DNA1,24S_18_1638,16,24S_18,Well_H04,G05,50,more DNA needed for this sample
KONA_002-M-20240618-comp-DNA1,24S_18_1639,60,24S_18,Well_A05,H05,30,
KONA_003-M-20240620-comp-DNA1,24S_18_1640,35,24S_18,Well_B05,A06,30,
KONA_004-M-20240618-comp-DNA1,24S_18_1641,27,24S_18,Well_C05,B06,30,
KONA_005-M-20240618-comp-DNA1,24S_18_1642,94,24S_18,Well_D05,C06,30,
KONA_006-M-20240620-comp-DNA1,24S_18_1643,22,24S_18,Well_E05,D06,30,
KONA_048-M-20240617-comp-DNA1,24S_18_1644,30,24S_18,Well_F05,E06,30,
KONA_054-M-20240617-comp-DNA1,24S_18_1645,74,24S_18,Well_G05,F06,30,
KONA_057-M-20240617-comp-DNA1,24S_18_1646,43,24S_18,Well_H05,G06,30,
KONA_059-M-20240617-comp-DNA1,24S_18_1647,69,24S_18,Well_A06,H06,30,
BONA_001-M-20240710-comp-DNA1,24S_18_1648,51,24S_18,Well_B06,A07,30,
BONA_001-O-20240710-comp-DNA1,24S_18_1652,66,24S_18,Well_F06,B07,30,
BONA_002-M-20240709-comp-DNA1,24S_18_1656,12,24S_18,Well_B07,C07,50,more DNA needed for this sample
BONA_002-O-20240709-comp-DNA1,24S_18_1660,148,24S_18,Well_F07,D07,30,
BONA_004-M-20240710-comp-DNA1,24S_18_1664,64,24S_18,Well_B08,E07,30,
BONA_004-O-20240710-comp-DNA1,24S_18_1668,14,24S_18,Well_F08,F07,50,more DNA needed for this sample
BONA_006-M-20240711-comp-DNA1,24S_18_1672,129,24S_18,Well_B09,G07,30,
BONA_006-O-20240711-comp-DNA1,24S_18_1676,29,24S_18,Well_F09,H07,30,
BONA_009-M-20240712-comp-DNA1,24S_18_1678,92,24S_18,Well_H09,A08,30,
BONA_013-M-20240710-comp-DNA1,24S_18_1685,107,24S_18,Well_G10,B08,30,
BONA_013-O-20240710-comp-DNA1,24S_18_1689,142,24S_18,Well_C11,C08,30,
BONA_070-M-20240708-comp-DNA1,24S_18_1691,120,24S_18,Well_E11,D08,30,
BONA_070-O-20240708-comp-DNA1,24S_18_1694,35,24S_18,Well_H11,E08,30,
BONA_071-M-20240708-comp-DNA1,24S_18_1698,25,24S_18,Well_D12,F08,30,
